Taxon,RedList,DestrCrit,PopRed,PopRedBack,GenLength,UpperDepth,LowerDepth,DepthRange,DepthRange20,GenGlobAbd,ResFragRange,OffReef,SuscBleaching,ResistBleaching,SuscDisease,ResistDisease,Recover,SuscCoTs,Collection1000
ACR_Acropora_abrolhosensis,VU,De+Cr,0.39,0.15,10,2,18,16,1,rare,0,0,1,0,0,0,0,1,0
ACR_Acropora_abrotanoides,LC,De,0.2,0.09,10,0,15,15,1,uncommon,0,0,0,0,0,0,0,0,0
ACR_Acropora_aculeus,VU,De+Cr,0.37,0.15,10,5,35,30,0,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_acuminata,VU,De+Cr,0.35,0.14,10,5,20,15,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_akajimensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_anthocercis,VU,De+Cr,0.33,0.14,10,5,10,5,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_appressa,NT,De+Cr,0.22,0.08,10,1,15,14,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_arabensis,NT,De+Cr,0.28,0.14,10,0.5,12,11.5,1,common,1,0,1,0,1,0,0,1,0
ACR_Acropora_aspera,VU,De+Cr,0.37,0.15,10,0,5,5,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_austera,NT,De,0.2,0.09,10,0.5,20,19.5,1,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_awi,VU,De+Cr,0.39,0.15,10,0,5,5,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_batunai,VU,De+Cr,0.39,0.15,10,1,44,43,0,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_bifurcata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_branchi,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_bushyensis,LC,De+Cr,0.1,0.05,10,0,5,5,1,rare,0,0,0,1,1,0,0,1,0
ACR_Acropora_cardenae,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_carduus,NT,De,0.2,0.09,10,3,50,47,0,common,0,1,1,0,1,0,0,1,0
ACR_Acropora_caroliniana,VU,De+Cr,0.38,0.15,10,10,25,15,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_cerealis,LC,De,0.2,0.09,10,3,20,17,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_cervicornis,CR,A2,0.85,0.5,10,0.5,60,59.5,0,uncommon,0,0,1,0,1,0,0,0,0
ACR_Acropora_chesterfieldensis,LC,De+Cr,0.1,0.05,10,3,20,17,1,rare,0,0,1,0,1,0,0,1,0
ACR_Acropora_clathrata,LC,De,0.2,0.09,10,8,20,12,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_convexa,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_cophodactyla,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_copiosa,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_cytherea,LC,De,0.2,0.09,10,3,25,22,0,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_dendrum,VU,De+Cr,0.35,0.14,10,5,20,15,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_derawanensis,VU,De+Cr,0.39,0.15,10,10,25,15,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_desalwii,VU,De+Cr,0.41,0.15,10,10,30,20,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_digitifera,NT,De,0.2,0.09,10,0,12,12,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_divaricata,NT,De,0.21,0.09,10,5,25,20,1,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_donei,VU,De+Cr,0.37,0.15,10,5,20,15,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_downingi,LC,De+Cr,0.19,0.16,10,1,10,9,1,common,1,0,1,0,1,0,0,1,0
ACR_Acropora_echinata,VU,De+Cr,0.38,0.15,10,8,25,17,1,uncommon,0,0,1,0,1,0,0,1,1
ACR_Acropora_efflorescens,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_elegans,VU,De+Cr,0.41,0.16,10,30,60,30,0,uncommon,0,0,0,0,0,0,0,1,1
ACR_Acropora_elegantula,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_elseyi,LC,De,0.2,0.09,10,5,15,10,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_exquisita,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_fastigata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_fenneri,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_filiformis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_florida,NT,De,0.21,0.1,10,5,30,25,0,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_forskali,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_gemmifera,LC,De,0.2,0.09,10,1,15,14,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_glauca,NT,De,0.19,0.09,10,5,20,15,1,rare,0,1,1,0,1,0,0,1,0
ACR_Acropora_globiceps,VU,De+Cr,0.35,0.14,10,0,8,8,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_gomezi,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_grandis,LC,De,0.2,0.09,10,5,25,20,1,common,0,1,1,0,1,0,0,1,0
ACR_Acropora_granulosa,NT,De,0.2,0.09,10,8,40,32,0,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_haimei,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_halmaherae,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_hemprichii,VU,De+Cr,0.35,0.15,10,3,15,12,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_hoeksemai,VU,De+Cr,0.41,0.16,10,8,20,12,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_horrida,VU,De+Cr,0.36,0.15,10,5,20,15,1,uncommon,0,0,1,0,1,0,0,1,1
ACR_Acropora_humilis,NT,De,0.2,0.09,10,0,11,11,1,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_hyacinthus,NT,De,0.2,0.09,10,5,20,15,1,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_indonesia,VU,De+Cr,0.38,0.15,10,10,20,10,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_inermis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_insignis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_intermedia,LC,De,0.2,0.09,10,5,25,20,1,common,0,1,1,0,1,0,0,1,0
ACR_Acropora_irregularis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_jacquelineae,VU,De+Cr,0.37,0.14,10,10,35,25,0,uncommon,0,0,1,0,1,0,0,1,1
ACR_Acropora_japonica,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_khayranensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_kimbeensis,VU,De+Cr,0.36,0.14,10,3,15,12,1,uncommon,0,0,1,0,1,0,0,1,1
ACR_Acropora_kirstyae,VU,De+Cr,0.36,0.14,10,10,25,15,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_kosurini,VU,De+Cr,0.41,0.15,10,8,20,12,1,rare,0,0,1,0,1,0,0,1,0
ACR_Acropora_lamarcki,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_latistella,LC,De,0.2,0.09,10,3,20,17,1,common,0,0,1,0,1,0,0,1,0
ACR_Acropora_lianae,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_listeri,VU,De+Cr,0.35,0.14,10,3,15,12,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_loisetteae,VU,De+Cr,0.39,0.15,10,1,30,29,0,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_lokani,VU,De+Cr,0.36,0.14,10,8,25,17,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_longicyathus,LC,De,0.21,0.1,10,5,20,15,1,common,0,1,1,0,1,0,0,1,0
ACR_Acropora_loripes,NT,De,0.2,0.09,10,5,25,20,1,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_lovelli,VU,De+Cr,0.36,0.14,10,1,10,9,1,rare,0,0,1,0,1,0,0,1,0
ACR_Acropora_lutkeni,NT,De,0.21,0.09,10,3,12,9,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_macrostoma,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_maryae,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_massawensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_microclados,VU,De+Cr,0.33,0.14,10,5,20,15,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_microphthalma,LC,De,0.2,0.09,10,5,25,20,1,common,0,1,1,0,1,0,0,1,0
ACR_Acropora_millepora,NT,De,0.2,0.09,10,2,12,10,1,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_minuta,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_mirabilis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_monticulosa,NT,De,0.21,0.1,10,1,12,11,1,uncommon,0,0,1,0,1,0,0,1,0
ACR_Acropora_multiacuta,VU,De+Cr,0.4,0.15,10,3,15,12,1,rare,0,0,1,0,1,0,0,1,0
ACR_Acropora_muricata,NT,De,0.2,0.09,10,5,30,25,0,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_nana,NT,De,0.19,0.09,10,1,10,9,1,uncommon,0,0,1,0,1,0,0,1,1
ACR_Acropora_nasuta,NT,De,0.2,0.09,10,3,15,12,1,common,0,0,1,0,1,0,0,1,1
ACR_Acropora_natalensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACR_Acropora_navini,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
