YEAR,site,i,hv_size,corallite.diameter,growth.rate,skeletal.density,symbiodinium.density,colony.maximum.diameter
2016,Cayo Diablo (2016),1,0.39442006102300714,-0.5501511063458925,3.1628496864204894,0.0737045602725194,0.06829080204433294,-0.7118267568646669
2016,Palominitos (2016),1,5573.214230325187,0.5353697814673334,0.8854839091081198,-0.4730906729175457,-0.08661549366601413,-0.30503739146382514
2018,Canal Luis Pena,1,1632.490301140705,0.4657118772268327,0.04266364470453188,-0.13805861371344855,0.026843678122848054,0.022948645271793706
2018,Cayo Diablo (2016),1,126.62157379523839,-0.38946956052149617,-0.23762950942904473,-0.18254085913536114,0.8149269396865771,0.36257246069116134
2021,Cayo Diablo (2016),1,107.23918759789483,-0.43354882458391597,0.6299756216686977,-0.5819733243002978,0.4931341042605967,0.30792729201181107
2023,Cayo Diablo (2016),1,82.27763152954911,-0.3952326344091827,-0.20822494974814346,-0.3114177593126856,0.7679309291915392,0.38242547184642245
2018,Palominitos (2016),1,178.25695949408947,0.22706302321835778,-0.26319428308281584,-0.4590748525260029,0.4717582037319269,0.36802076240561904
2016,Canal Luis Pena,1,740.2192991952788,0.8651598200457433,-0.18471987351072053,-0.8190202655914329,-0.6264169483565467,-0.09943185240438918
2016,Carlos Rosario,1,148.5869326452232,0.8404261225204372,-0.34209718187854066,-0.5341400361054016,-0.3649339176564402,0.23527321824342254
2016,Dakiti,1,59.19700918040334,-0.4371775113517813,-0.3768062303569324,0.10881891710566126,0.8226142662023914,-0.9598438947046023
2018,Carlos Rosario,1,599.7830165388261,0.044435002285325195,-0.27632532732079557,0.25413787931906134,0.019606728595493637,0.5203614741710938
2018,Dakiti,1,182.43124268413095,0.17889931181846558,-0.2828079207985256,-0.020940005552219188,0.13640334371741897,0.29129470286282727
2021,Canal Luis Pena,1,610.5487164369315,0.36347901165759966,-0.25742307681661,-0.19954146393778308,0.13844605860553053,-0.014330821812446702
2023,Canal Luis Pena,1,166.47826222943988,-0.246080812066914,-0.28059581264076233,0.08789487272125751,0.6498429514640689,-0.24212294028232695
2021,Dakiti,1,23.71007576001366,-0.2754681331521975,-0.2923489791615564,-0.03694991074252461,0.4919876250464904,-0.05822996737122439
2023,Dakiti,1,44.01027762859654,-0.19857068179912543,-0.30974639100185664,0.2868659591765784,0.181093981969919,-0.14081063463727012
2016,Palominos (2016),1,10.265912821854172,-0.1560116335859628,-0.35883709907803346,0.33447083530976146,-0.21024317720176725,0.24294548860474247
2018,Palominos (2016),1,58.178382232676945,-0.1672150224703938,-0.30169802211587415,0.004765681379528576,0.1334212417541763,0.6980470369149381
2021,Carlos Rosario,1,101.47290028688009,-0.3693713929201387,-0.24757328478273524,0.1254398287973354,0.6637010771124633,0.18671779587746343
2021,Palominos (2016),1,58.171338167689434,-0.18313927746331632,-0.308325605162092,0.011759853597688042,0.08974956668751322,0.630398143503657
2023,Carlos Rosario,1,20.57823661651962,-0.3096981012038545,-0.2522924169298037,0.2905507341584078,0.5437351897604948,0.31232260174801585
2023,Palominos (2016),1,51.57407780909163,-0.23615416615587306,-0.32915725340208335,0.11652502489652107,0.15452147380885664,0.21234364165279307
2021,Palominitos (2016),1,4.947899123983688,-0.4047296449438962,-0.2750326074094176,0.13816067623041536,0.7556701900950997,-0.05456789437483804
2023,Palominitos (2016),1,4.220966674027412,-0.381027470297453,-0.23504307293315774,-0.12950712179600243,0.8291958283322007,0.37111384456544116
