YEAR1,YEAR2,site1,site2,hv1_size,hv2_size,size_ratio,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent
2018,2016,Cayo Diablo (2016),Cayo Diablo (2016),126.62157379523839,0.39442006102300714,321.0322859005195,0.0017775992267810682,0.0035488899495319175,0.9982200277152011,0.4285714285714286,3.6560276580271434
2021,2016,Cayo Diablo (2016),Cayo Diablo (2016),107.23918759789483,0.39442006102300714,271.8908042348267,0.0020983764744484756,0.004187965021619771,0.9978983159322482,0.4285714285714286,2.842419877491754
2023,2016,Cayo Diablo (2016),Cayo Diablo (2016),82.27763152954911,0.39442006102300714,208.60407382967705,0.0019120086558431888,0.003816719710562854,0.9980824919060468,0.6,3.6363920833929777
2021,2018,Cayo Diablo (2016),Cayo Diablo (2016),107.23918759789483,126.62157379523839,0.8469266680519458,0.3990791571628781,0.5704883174332331,0.3779567186713638,0.47317495636023904,1.010328987333651
2023,2018,Cayo Diablo (2016),Cayo Diablo (2016),82.27763152954911,126.62157379523839,0.6497915723477066,0.5438799469709253,0.7045624862710492,0.10557377049180329,0.4188093739788382,0.14180925077144763
2023,2021,Cayo Diablo (2016),Cayo Diablo (2016),82.27763152954911,107.23918759789483,0.7672347522629337,0.5001155498060611,0.6667693696938445,0.23208770301922302,0.41083099906629317,0.9264512485228721
2018,2016,Palominitos (2016),Cayo Diablo (2016),178.25695949408947,0.39442006102300714,451.9469903020259,0,0,1,1,3.7355788836490853
2021,2016,Palominitos (2016),Cayo Diablo (2016),4.947899123983688,0.39442006102300714,12.544745090171945,0.0030714525473725545,0.006124095226860218,0.9966938623240441,0.9585253456221199,3.570548458428806
2023,2016,Palominitos (2016),Cayo Diablo (2016),4.220966674027412,0.39442006102300714,10.701703820742518,0.0023626368320146802,0.004714135872984726,0.9974226804123711,0.9724182891217977,3.6561331760923657
2021,2018,Palominitos (2016),Cayo Diablo (2016),4.947899123983688,126.62157379523839,0.039076272515653675,0.03330801173576865,0.06446869927935095,0.14285714285714282,0.9665060521294396,0.5310355683923721
2023,2018,Palominitos (2016),Cayo Diablo (2016),4.220966674027412,126.62157379523839,0.03333528835183489,0.030253153714894978,0.05872955322836512,0.08974358974358976,0.9696563400899965,0.05627692474671341
2023,2021,Palominitos (2016),Cayo Diablo (2016),4.220966674027412,107.23918759789483,0.039360300731243816,0.027325820597997087,0.05319796319748096,0.29761904761904767,0.9723540744863882,1.0356985670961565
2018,2016,Canal Luis Pena,Cayo Diablo (2016),1632.490301140705,0.39442006102300714,4138.9636645421015,0,0,1,0,3.3695689537142797
2021,2016,Canal Luis Pena,Cayo Diablo (2016),610.5487164369315,0.39442006102300714,1547.9656761204071,0,0,1,1,3.6192639440428898
2023,2016,Canal Luis Pena,Cayo Diablo (2016),166.47826222943988,0.39442006102300714,422.0836582136448,4.4123633717727624e-4,8.82083467076455e-4,0.9995579133510167,0.8134024499497591,3.536778419924299
2021,2018,Canal Luis Pena,Cayo Diablo (2016),610.5487164369315,126.62157379523839,4.821838002300136,0.0738941460452242,0.13761904991725757,0.9169200816922366,0.5994020926756353,1.0804141914332193
2023,2018,Canal Luis Pena,Cayo Diablo (2016),166.47826222943988,126.62157379523839,1.3147701236019569,0.0782687788370148,0.14517489585747428,0.8722033207191874,0.8319767441860465,0.698892819097331
2023,2021,Canal Luis Pena,Cayo Diablo (2016),166.47826222943988,107.23918759789483,1.5524013745205578,0.04967753629989528,0.09465294737088151,0.9221875486143288,0.87920384351407,1.2806720559600915
2018,2016,Carlos Rosario,Cayo Diablo (2016),599.7830165388261,0.39442006102300714,1520.67066513597,3.2869421653967246e-4,6.571724243042067e-4,0.9996711977080485,0.5,3.7060317826554514
2021,2016,Carlos Rosario,Cayo Diablo (2016),101.47290028688009,0.39442006102300714,257.27114392632535,7.044777279869793e-4,0.0014079635769921508,0.9992932818696906,0.8181818181818181,3.58165302538165
2023,2016,Carlos Rosario,Cayo Diablo (2016),20.57823661651962,0.39442006102300714,52.17340254739036,0.0010085014850969595,0.0020149708690800246,0.9989732042390226,0.9464285714285714,3.6115045024815093
2021,2018,Carlos Rosario,Cayo Diablo (2016),101.47290028688009,126.62157379523839,0.801387135267908,0.2461053746014914,0.39499929880359713,0.5560531084225788,0.6442266723476779,0.3861981923789089
2023,2018,Carlos Rosario,Cayo Diablo (2016),20.57823661651962,126.62157379523839,0.16251761844152238,0.10815816697779101,0.19520348304207127,0.3018372703412073,0.8865362558912206,0.5535920481501297
2023,2021,Carlos Rosario,Cayo Diablo (2016),20.57823661651962,107.23918759789483,0.19189101556494434,0.07676601588621562,0.142586253194543,0.5571776155717761,0.9150263629371779,1.2480440356032743
2018,2016,Dakiti,Cayo Diablo (2016),182.43124268413095,0.39442006102300714,462.530334311493,2.988445639932537e-4,5.975105652021683e-4,0.9997005988023953,0.861517863978595,3.6638668689720473
2021,2016,Dakiti,Cayo Diablo (2016),23.71007576001366,0.39442006102300714,60.113767282822394,2.9779963729083936e-4,5.954219581385101e-4,0.9996973365617433,0.9818057605076203,3.554265145907991
2023,2016,Dakiti,Cayo Diablo (2016),44.01027762859654,0.39442006102300714,111.5822494283052,0,0,1,1,3.5449617858421583
2021,2018,Dakiti,Cayo Diablo (2016),23.71007576001366,126.62157379523839,0.18725146947198407,0.10654195932688419,0.19256740953898263,0.38952164009111623,0.8856870300262147,0.5644038930299635
2023,2018,Dakiti,Cayo Diablo (2016),44.01027762859654,126.62157379523839,0.3475732950513331,0.12696921915068432,0.22532863718562232,0.5631901840490798,0.8481765729591724,0.9576663022855422
2023,2021,Dakiti,Cayo Diablo (2016),44.01027762859654,107.23918759789483,0.4103936127679178,0.08943179055000246,0.1641806147493687,0.7178814640643918,0.8842203548085901,1.4113499402803318
2018,2016,Palominos (2016),Cayo Diablo (2016),58.178382232676945,0.39442006102300714,147.5036084163156,4.452098426351809e-4,8.900234380755546e-4,0.9995519713261649,0.9339141539353425,3.761179273398808
2021,2016,Palominos (2016),Cayo Diablo (2016),58.171338167689434,0.39442006102300714,147.4857491193791,0,0,1,1,3.7402701634864495
2023,2016,Palominos (2016),Cayo Diablo (2016),51.57407780909163,0.39442006102300714,130.75926633986103,0,0,1,1,3.6271292770808707
2021,2018,Palominos (2016),Cayo Diablo (2016),58.171338167689434,126.62157379523839,0.4594109552117806,0.11674612221551184,0.20908265521244754,0.6679035250463823,0.8474312412190932,0.8263992432905168
2023,2018,Palominos (2016),Cayo Diablo (2016),51.57407780909163,126.62157379523839,0.40730877261479015,0.11890430438291631,0.2125370398829467,0.6328274016630039,0.8504473796335749,0.7615953114935016
2023,2021,Palominos (2016),Cayo Diablo (2016),51.57407780909163,107.23918759789483,0.4809256668604608,0.09115479362333576,0.1670794907487749,0.742754105981593,0.8762838468720822,1.253233902655665
2018,2016,Palominitos (2016),Palominitos (2016),178.25695949408947,5573.214230325187,0.03198458773110692,0.025660667997533367,0.05003734431511822,0.19277108433734927,0.9741811159279016,1.4763128239144536
2021,2016,Palominitos (2016),Palominitos (2016),4.947899123983688,5573.214230325187,8.877999157220602e-4,7.682524460779461e-4,0.001535325374681268,0.1345524992702295,0.9992316557817903,1.8374966314322492
2023,2016,Palominitos (2016),Palominitos (2016),4.220966674027412,5573.214230325187,7.573666648341144e-4,7.573666648341144e-4,0.0015135869893381775,0,0.9992426333351659,1.873313953561949
2021,2018,Palominitos (2016),Palominitos (2016),4.947899123983688,178.25695949408947,0.027757116120606485,0.027143985907930594,0.05285332198861491,0.021505376344085933,0.9728398111077936,1.0075612076274045
2023,2018,Palominitos (2016),Palominitos (2016),4.220966674027412,178.25695949408947,0.02367911292780335,0.022759440663495206,0.044505950781017406,0.03797468354430371,0.9772200938922398,0.7790716595492666
2023,2021,Palominitos (2016),Palominitos (2016),4.220966674027412,4.947899123983688,0.8530826050125689,0.6889330587666165,0.8158204437892006,0.11392949269131562,0.244108663400299,0.5103116385075915
2018,2016,Canal Luis Pena,Palominitos (2016),1632.490301140705,5573.214230325187,0.29291719888640494,0.27575296078788025,0.4322983669464981,0.045931758530183775,0.7205370031621832,0.9735977230682104
2021,2016,Canal Luis Pena,Palominitos (2016),610.5487164369315,5573.214230325187,0.10955055578427085,0.10066582034781847,0.18291804558082367,0.07368421052631574,0.8985215904314122,1.2432919998552778
2023,2016,Canal Luis Pena,Palominitos (2016),166.47826222943988,5573.214230325187,0.029871139947140732,0.02668482865380836,0.05198251285898044,0.10389610389610389,0.9732323551123024,1.682688622293362
2021,2018,Canal Luis Pena,Palominitos (2016),610.5487164369315,178.25695949408947,3.4251045130003783,0.2599405771838523,0.4126235504929236,0.7334530481440708,0.08704883227176215,0.5859094883670437
2023,2018,Canal Luis Pena,Palominitos (2016),166.47826222943988,178.25695949408947,0.9339229318278586,0.5608053268376878,0.7186102163988929,0.2559681697612732,0.30513161173020065,0.9629814628231704
2023,2021,Canal Luis Pena,Palominitos (2016),166.47826222943988,4.947899123983688,33.64625228967961,0.02653342285248533,0.05169519523047859,0.9733841861390788,0.10447761194029852,0.27221930884807816
2018,2016,Carlos Rosario,Palominitos (2016),599.7830165388261,5573.214230325187,0.10761886978527826,0.07138145619469635,0.13325124451607942,0.3142857142857143,0.9262042035758092,1.676975096518658
2021,2016,Carlos Rosario,Palominitos (2016),101.47290028688009,5573.214230325187,0.018207249191093688,0.01584608797447043,0.031197812664842717,0.12765957446808504,0.9841170804928757,1.8070451237876568
2023,2016,Carlos Rosario,Palominitos (2016),20.57823661651962,5573.214230325187,0.003692346241518679,0.002869470392687953,0.00572252018313883,0.22222222222222215,0.9971281751454855,1.8358372036568094
2021,2018,Carlos Rosario,Palominitos (2016),101.47290028688009,178.25695949408947,0.5692507073769799,0.2210260877930206,0.3620333586688892,0.5009921842670751,0.715939447907391,0.8759841741369362
2023,2018,Carlos Rosario,Palominitos (2016),20.57823661651962,178.25695949408947,0.11544142049164673,0.10362047576327545,0.1877828076569718,0.09278350515463914,0.8952696391415988,0.9265273051599503
2023,2021,Carlos Rosario,Palominitos (2016),20.57823661651962,4.947899123983688,4.15898467225652,0.2180112675057735,0.35797906525481316,0.7779736334497858,0.07659574468085105,0.46075581476099065
2018,2016,Dakiti,Palominitos (2016),182.43124268413095,5573.214230325187,0.03273357799373279,0.0248402396605459,0.04847631601345716,0.23529411764705888,0.9749684403577338,1.4497470779791495
2021,2016,Dakiti,Palominitos (2016),23.71007576001366,5573.214230325187,0.004254291111043513,0.003478093305138978,0.006932076202447511,0.1818181818181817,0.9965192163636918,1.6219317724478755
2023,2016,Dakiti,Palominitos (2016),44.01027762859654,5573.214230325187,0.0078967496690018,0.0078967496690018,0.015669759172445254,0,0.9921032503309982,1.6258588338437157
