site1,site2,hv1_size,hv2_size,size_ratio,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent,i,year
Canal Luis Pena,Carlos Rosario,740.2192991952788,148.5869326452232,4.981725418362862,0.11865141578485594,0.21213295600508233,0.8726424091610157,0.3655394524959742,0.5356649865315602,1,2016
Canal Luis Pena,Cayo Diablo (2016),740.2192991952788,0.39442006102300714,1876.7283217678441,0,0,1,1,3.8553768906724764,1,2016
Canal Luis Pena,Dakiti,740.2192991952788,59.19700918040334,12.50433610487744,0.05771235179632107,0.10912674263150607,0.9410730726459163,0.2631578947368422,2.331065332736829,1,2016
Canal Luis Pena,Palominitos (2016),740.2192991952788,5573.214230325187,0.13281730588563584,0.11860623689396295,0.2120607466364522,0.09565217391304354,0.8798869581555989,1.3066844060991474,1,2016
Canal Luis Pena,Palominos (2016),740.2192991952788,10.265912821854172,72.1045767717307,0.010531885825302059,0.02084424246880772,0.9894333370221865,0.2380952380952381,1.641363005932409,1,2016
Carlos Rosario,Cayo Diablo (2016),148.5869326452232,0.39442006102300714,376.7225537662393,0,0,1,1,3.958852694025901,1,2016
Carlos Rosario,Dakiti,148.5869326452232,59.19700918040334,2.5100412115822164,0.22739794160303756,0.37053661880196004,0.7409208270378614,0.34970059880239523,2.2103048616631304,1,2016
Carlos Rosario,Palominitos (2016),148.5869326452232,5573.214230325187,0.026660904552480016,0.023497152680324058,0.04591542364097438,0.11594202898550715,0.9764302148159234,1.40468445958695,1,2016
Carlos Rosario,Palominos (2016),148.5869326452232,10.265912821854172,14.473815940547432,0.03627519767794895,0.07001074185550943,0.9625760981836708,0.45833333333333337,1.331030188041475,1,2016
Cayo Diablo (2016),Dakiti,0.39442006102300714,59.19700918040334,0.006662837641358011,0,0,1,1,3.629555957640113,1,2016
Cayo Diablo (2016),Palominitos (2016),0.39442006102300714,5573.214230325187,7.077066208524222e-5,0,0,0,1,2.617863452673895,1,2016
Cayo Diablo (2016),Palominos (2016),0.39442006102300714,10.265912821854172,0.038420359481658756,6.419849312965504e-4,0.0012831461021308808,0.9826596490165803,0.9993337774816788,3.6898230320236984,1,2016
Dakiti,Palominitos (2016),59.19700918040334,5573.214230325187,0.010621699926462239,0.009827175390567013,0.019463083644518073,0.07407407407407401,0.9901650926606832,2.033055266547921,1,2016
Dakiti,Palominos (2016),59.19700918040334,10.265912821854172,5.766365856369264,0.06102401689061917,0.11502853077624561,0.9325116422943397,0.6108374384236454,1.6259743933054358,1,2016
Palominitos (2016),Palominos (2016),5573.214230325187,10.265912821854172,542.8854040588457,9.201572148703737e-4,0.0018386226078826802,0.9990789953160247,0.5,1.730337441960245,1,2016
Canal Luis Pena,Carlos Rosario,1632.490301140705,599.7830165388261,2.721801478410198,0.2561126801189123,0.4077861551316669,0.7211958463754795,0.24115044247787612,0.82493524265443,1,2018
Canal Luis Pena,Cayo Diablo (2016),1632.490301140705,126.62157379523839,12.892671068680832,0.06599944756519444,0.1238264198277796,0.9332845881541699,0.1398601398601399,1.244306142811389,1,2018
Canal Luis Pena,Dakiti,1632.490301140705,182.43124268413095,8.948523712943548,0.08210588620132712,0.15175203692783762,0.9156448154861362,0.24514563106796122,0.5347175730744297,1,2018
Canal Luis Pena,Palominitos (2016),1632.490301140705,178.25695949408947,9.15807329920734,0.09261474689263688,0.16952864155646882,0.9059799855830641,0.13895781637717114,0.7553657883518817,1,2018
Canal Luis Pena,Palominos (2016),1632.490301140705,58.178382232676945,28.06008414967213,0.02366309545057738,0.04623219407975588,0.9760600958426316,0.32824427480916024,1.00334281911679,1,2018
Carlos Rosario,Cayo Diablo (2016),599.7830165388261,126.62157379523839,4.73681536693537,0.07231114698019743,0.1348697105011682,0.9183288171692229,0.6131386861313869,1.018769094304481,1,2018
Carlos Rosario,Dakiti,599.7830165388261,182.43124268413095,3.2877209392105904,0.2586111241593308,0.4109468273324947,0.7320293679063324,0.1189873417721518,0.3998794222302668,1,2018
Carlos Rosario,Palominitos (2016),599.7830165388261,178.25695949408947,3.364710237631498,0.26221585927779745,0.4154849701030212,0.7305159472116654,0.09326424870466324,0.8774089514860557,1,2018
Carlos Rosario,Palominos (2016),599.7830165388261,58.178382232676945,10.309379421037718,0.0880643437135167,0.1618734116641611,0.911212510670038,0.08465608465608462,0.3900665357840874,1,2018
Cayo Diablo (2016),Dakiti,126.62157379523839,182.43124268413095,0.6940783384043283,0.07097941839725827,0.1325504807617692,0.8382380735870315,0.8877245508982036,0.9037001100064236,1,2018
Cayo Diablo (2016),Palominitos (2016),126.62157379523839,178.25695949408947,0.7103317264840749,0.08215101514879812,0.1518291144189375,0.8172134639965914,0.8701609243026552,0.7583083141399468,1,2018
Cayo Diablo (2016),Palominos (2016),126.62157379523839,58.178382232676945,2.176436829900696,0.12514912464735045,0.2224578447529349,0.8376651043885811,0.6466883544132231,0.815830130436918,1,2018
Dakiti,Palominitos (2016),182.43124268413095,178.25695949408947,1.0234172242244481,0.566099114468237,0.7229416187499139,0.2853293413173653,0.26859373825635996,0.5594786433469202,1,2018
Dakiti,Palominos (2016),182.43124268413095,58.178382232676945,3.135722164884556,0.19801204040792716,0.33056769669944785,0.7820061730046364,0.31643192488262906,0.5350412179053051,1,2018
Palominitos (2016),Palominos (2016),178.25695949408947,58.178382232676945,3.0639724353484725,0.19923176518924302,0.3322656570188558,0.7796457866658312,0.32484076433121023,0.7716702649657234,1,2018
Canal Luis Pena,Carlos Rosario,610.5487164369315,101.47290028688009,6.016864746260458,0.15367911934378675,0.26641570739565695,0.8446530656820498,0.06529850746268662,0.979332913601088,1,2021
Canal Luis Pena,Cayo Diablo (2016),610.5487164369315,107.23918759789483,5.693335898125705,0.04352103797396819,0.08341190333539567,0.9509686502855389,0.7208480565371024,1.3411330475734922,1,2021
Canal Luis Pena,Dakiti,610.5487164369315,23.71007576001366,25.750601668958133,0.03818897084847075,0.07356843873473327,0.9617873006366996,0.01600000000000004,0.7502186746995609,1,2021
Canal Luis Pena,Palominitos (2016),610.5487164369315,4.947899123983688,123.39554650123145,0.008104020188362473,0.016077745998569176,0.9918959798116376,0,1.042632256177028,1,2021
Canal Luis Pena,Palominos (2016),610.5487164369315,58.171338167689434,10.495696603659246,0.06680412684180222,0.12524159807962326,0.9314128700529117,0.28013029315960913,0.8741153557902761,1,2021
