species,mean_chlorophyll a,mean_colony maximum diameter,mean_corallite diameter,mean_growth rate,mean_skeletal density,mean_symbiodinium density,sd2_chlorophyll a,sd2_colony maximum diameter,sd2_corallite diameter,sd2_growth rate,sd2_skeletal density,sd2_symbiodinium density
Acropora cervicornis,-0.5476941874340194,-0.2889069849122023,-0.8779864006648294,2.2644308304643546,-0.1460148145932567,-0.5100399027739002,0.34940225253919077,0.38745766671754,0.19202832545027373,2.355132027423102,2.136818950979428,0.5833352692050722
Acropora palmata,-0.6183719896126023,1.856455984608703,-1.0336992613266827,1.9915688972806291,0.4526511470049558,0.04309298569565515,0.15403793794470405,0.6666477443915788,0.22135520157200986,0.5871849540161084,1.388355375492146,0.9823052529329255
Agaricia spp.,-0.6067537207611936,-0.5947074927013567,0.18021224824968318,-0.3944858784443753,1.2790952824263828,-1.5406878348094404,0.37404691329507295,0.16733413944226244,0.7190699247678283,0.15525006928961108,0.3608437073996078,2.5168579419154754e-12
Colpophyllia natans,3.9025868771393566,0.13992601939349922,3.611734415085279,-0.2731211278677273,-2.328822125972535,-1.540687834810924,0.3096062179122118,0.5121253421807902,0.3096062179122118,0.14696186576764383,0.2697314457882014,0.3096062179122118
Diploria labyrinthiformis,-0.8149384305114988,-0.4197387344243012,0.8478311383373798,-0.35843407692280543,-0.4773453524574773,-1.5406878348099071,0.00955055753615922,0.8024934159920957,0.3311136012827613,0.034090562820208774,0.4783198687825814,0.3311136012827613
Montastraea cavernosa,-0.12967855605574724,0.22365287097028624,1.0823736347092967,-0.16926638090686852,0.10367104053779881,-1.5406878348098967,0.3760450260487656,0.6117988995951539,0.7065550517118999,0.29479045744315563,0.5843271229427097,4.152954634366857e-13
Orbicella annularis,-0.14812774458442343,1.9207890294977503,-0.3135272807656105,-0.24579450379241688,0.11190799400159657,-0.036154334964213754,0.7828793994916332,2.4066421891850167,0.3350616705767382,0.10322584924692177,0.6277468856463682,0.7668260124786065
Orbicella faveolata,0.17855250291995153,1.4808831005055596,-0.4367999621229111,-0.19279436647477263,-1.190116392191459,0.5227289083859418,0.43634546484787895,2.8688458318980317,0.10541810500938548,0.0703863843197347,0.10475017678643227,1.2066928304318645
Orbicella franksi,-0.46326810044797573,0.5124446757322408,-0.3102832628351552,-0.3165547230941709,1.0993905839237545,-0.4164696014870711,0.2575447989452767,1.7316255334679547,0.20690630171919194,0.043219453340977,1.263487739276237,0.5659641261058177
Porites astreoides,0.7110484236945371,-0.5210282950067544,-0.8474926321185496,-0.3689844372055259,-0.33047132002744467,0.3196802306899445,2.396152612276311,0.13521077118408384,0.11645979188938593,0.05163291134647843,0.3710075548956404,1.0118248900408475
Porites furcata,-0.05294957218393892,-0.6689478912572626,-0.7313567902082506,0.38597867005165937,-1.5270627018838863,-1.5406878348105282,1.2479892105725205,0.41725778877409786,0.04867324329886935,0.6848763132122624,0.10475017678643227,4.047013542104488e-13
Pseudodiploria clivosa,0.4513801148684425,-0.5061996414792337,0.8478311383373798,-0.2750435779447916,-1.1987560411579314,-1.5406878348078041,0.2804174059907068,0.14618528882892845,0.12769116966256597,0.08416198382978687,0.12769116966256597,8.417816986478481e-13
Pseudodiploria strigosa,0.602399456390066,-0.281352357933116,2.5217443904523043,-0.3229983749811389,-0.5507823686724936,-1.5406878348098592,2.0034753970427945,0.23501861198010904,0.6413047037086307,0.05165635382988571,0.9163731556896082,7.558887890659797e-13
Siderastrea radians,-0.8216916945095545,-0.6229078359818601,-0.16430245596466758,-0.417066925657557,0.006474989664983083,-1.540687834809859,0.2566784435265942,0.1180413454027202,0.30979946623261323,0.0307216059434863,0.5681513565275571,0.2566784435265942
Siderastrea siderea,0.012887284639946706,-0.20422501263877363,0.21200362396814493,-0.21639585209168635,-0.473025527974241,-0.7022459837271491,1.050647730495137,0.28445312498635295,0.4051777096492348,0.21328905586342567,0.10996477868275309,0.65485441322509
